Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Drybulb Temperature [C](Monthly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),MEETING:Zone Air Temperature [C](Hourly),MEETING:Zone Air Relative Humidity [%](Hourly),RDC:Zone Air Temperature [C](Hourly),RDC:Zone Air Relative Humidity [%](Hourly),RPLUS1:Zone Air Temperature [C](Hourly),RPLUS1:Zone Air Relative Humidity [%](Hourly),SS:Zone Air Temperature [C](Hourly),SS:Zone Air Relative Humidity [%](Hourly),HEATING SCHEDULE:Schedule Value [](Hourly),HOT WATER TEMPERATURE:Schedule Value [](Hourly),RDC THERMOSTAT SCHEDULE:Schedule Value [](Hourly),RPLUS1 THERMOSTAT SCHEDULE:Schedule Value [](Hourly),ALWAYS ON:Schedule Value [](Hourly),ALWAYS ON DISCRETE:Schedule Value [](Hourly),ALWAYS OFF DISCRETE:Schedule Value [](Hourly),ALWAYS ON CONTINUOUS:Schedule Value [](Hourly),ALWAYS ON DISCRETE HVAC_LIBRARY:Schedule Value [](Hourly),COOLING SCHEDULE:Schedule Value [](Hourly),RDC_ZONE HVAC BASEBOARD RAD CONV WATER:Baseboard Total Heating Rate [W](Hourly),RPLUS1_ZONE HVAC BASEBOARD RAD CONV WATER 1:Baseboard Total Heating Rate [W](Hourly),Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep) 
 01/01  01:00:00,-5.0,,-5.000005444813285,0.2693019458239706,64.46021176332735,11.874540363526778,28.882504703627,10.958030802303583,30.690527978167037,13.85510672770389,25.36877407245716,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 01/01  02:00:00,-5.0,,-5.000005444813285,0.2500882901288512,64.55005489905184,11.751065930965773,29.118987138399206,10.750908886486483,31.11646240636037,13.834700453067594,25.402440456809877,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 01/01  03:00:00,-5.0,,-5.000005444813285,0.23189280663522777,64.63526565451691,11.631865046949763,29.349342996872917,10.551855330114728,31.53204925994989,13.810271483459013,25.442809245943664,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 01/01  04:00:00,-5.0,,-5.000005444813285,0.21455444429231862,64.71657894208965,11.514976961054412,29.577213998744696,10.360401307129337,31.937638147638665,13.779395286013052,25.493935192875796,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 01/01  05:00:00,-5.0,,-5.000005444813285,0.19785457772148127,64.79500554953125,11.400401728060103,29.80249901287568,10.175946199199235,32.33393035108727,13.744725797510137,25.551479448458803,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 01/01  06:00:00,-5.0,,-5.000005444813285,0.18163389883932635,64.8712830306572,11.287998597887555,30.025382918672854,9.997219867250955,32.72316934032213,13.708336648555488,25.61203515577393,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 01/01  07:00:00,-5.0,,-5.000005444813285,0.16578312988427035,64.94591761442278,11.17741174228236,30.24648723954731,9.823374497836204,33.10681492640268,13.67040368618608,25.675330768039334,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 01/01  08:00:00,-5.0,,-5.000005444813285,0.15294922761861193,65.0064197209597,18.66028264969823,18.912217845048303,18.517179391203303,19.16423648197489,13.634873604237951,25.734786791587744,20.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,17182.038983042457,16942.64997298831,1441482.1371897035,163634874.9552107 
 01/01  09:00:00,-5.0,,-5.000005444813285,0.14887913264798427,65.02561695504856,18.695396249662203,18.63249661750884,19.431830798911562,17.795839585231374,13.607831359757546,25.780129282064895,20.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,18026.221132794715,17117.661155318383,1441482.1371897042,191864038.14969444 
 01/01  10:00:00,-5.0,,-5.000005444813285,0.15451067644735117,64.99905372270149,19.47359337035781,17.750874977669696,20.01102095361062,17.166498333693063,13.592996504633819,25.805039798134615,20.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,18617.846082624987,16034.338930959486,1441482.1371897042,183777008.34555966 
 01/01  11:00:00,-5.0,,-5.000005444813285,0.16549723576429415,64.94726591820867,19.608614058569593,17.600394422330297,19.99018201596128,17.188643485216566,13.591633452385505,25.807329299783337,20.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,18188.093785538756,14974.389201524154,1441482.1371897042,178028546.76515117 
 01/01  12:00:00,-5.0,,-5.000005444813285,0.17708136201127722,64.89270990292286,19.878423862810738,17.308246331791743,19.99142448567745,17.187365969782057,13.601571643886098,25.790633965088706,20.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,18271.566013798132,14239.741096814629,1441482.1371897042,173326976.96997458 
 01/01  13:00:00,-5.0,,-5.000005444813285,0.18610994503928519,64.85022496169148,20.001878855699523,17.17619227265982,21.38224342968651,15.780970069148044,13.618174090762555,25.762770287962255,20.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,17933.928563437035,17433.279393402183,1441482.1371897042,186785334.47784 
 01/01  14:00:00,-5.0,,-5.000005444813285,0.19295506565822462,64.81803511583563,19.996805148970147,17.181593830144177,19.849894807036527,17.338804046182936,13.638257849099276,25.729108720872397,20.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,17375.253729309326,12275.920052251044,1441482.1371897042,161965892.9488932 
 01/01  15:00:00,-5.0,,-5.000005444813285,0.19746044298502646,64.79685785404367,19.996856299829695,17.181538138505793,19.99578107873827,17.18272433117578,13.659376739850288,25.693764533525098,20.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,16895.85252921654,12542.029255362519,1441482.1371897042,157065848.53381926 
 01/01  16:00:00,-5.0,,-5.000005444813285,0.20006703949607116,64.78460920665,20.179987538544466,16.98786215698551,20.270055312440665,16.893511295142392,13.67677128017781,25.6646932771793,20.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,17167.991914620325,13266.92703205214,1441482.1371897042,163174603.98154506 
 01/01  17:00:00,-5.0,,-5.000005444813285,0.2016876359169472,64.77699521572818,20.167831162024754,17.000642061199876,20.267102049321444,16.8965959100114,13.697996395102946,25.62927170039302,20.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,16514.345469771597,12863.831456018763,1441482.1371897042,157629874.6629388 
 01/01  18:00:00,-5.0,,-5.000005444813285,0.20123652342149745,64.77911457095095,15.172803587697421,23.403500721711623,15.364362142722257,23.11358609381518,13.721224156581776,25.590575613971072,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 01/01  19:00:00,-5.0,,-5.000005444813285,0.1947926815523162,64.80939712951226,13.38777489540169,26.17379574251881,13.502500721857913,25.98103869733831,13.744212732232533,25.552337325705558,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 01/01  20:00:00,-5.0,,-5.000005444813285,0.1793787551832357,64.88189940342957,12.737240778839954,27.29047358790136,12.468056834211497,27.780102066400865,13.765081367844784,25.517679261454163,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 01/01  21:00:00,-5.0,,-5.000005444813285,0.15872988180144826,64.97916296499096,12.403809620587992,27.89315780300962,11.966363269704487,28.708522669757123,13.777077899665695,25.497777550625564,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 01/01  22:00:00,-5.0,,-5.000005444813285,0.13620359769784673,65.0854509519898,12.23188674333766,28.210136708984002,11.684766633904866,29.246860152648292,13.778821846136426,25.494886129347407,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 01/01  23:00:00,-5.0,,-5.000005444813285,0.11427237925982667,65.18912089143981,12.084552550802398,28.485207309430056,11.40405455674315,29.795287493881776,13.770694445912603,25.50836318867617,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 01/01  24:00:00,-5.0,-5.0,-5.000005444813285,0.09482495655980033,65.28120361074473,11.940142993640304,28.75773661506499,11.14810591099265,30.30538596768079,13.755968931407216,25.532802604564452,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 01/01  01:00:00,-5.0,,-5.000005444813285,0.2693019458239706,64.46021176332735,11.874540363526778,28.882504703627,10.958030802303583,30.690527978167037,13.85510672770389,25.36877407245716,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 01/01  02:00:00,-5.0,,-5.000005444813285,0.2500882901288512,64.55005489905184,11.751065930965773,29.118987138399206,10.750908886486483,31.11646240636037,13.834700453067594,25.402440456809877,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
