Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Drybulb Temperature [C](Monthly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),MEETING:Zone Air Temperature [C](Hourly),MEETING:Zone Air Relative Humidity [%](Hourly),RDC:Zone Air Temperature [C](Hourly),RDC:Zone Air Relative Humidity [%](Hourly),RPLUS1:Zone Air Temperature [C](Hourly),RPLUS1:Zone Air Relative Humidity [%](Hourly),SS:Zone Air Temperature [C](Hourly),SS:Zone Air Relative Humidity [%](Hourly) 
 01/01  01:00:00,6.841666666666665,,5.982069776885602,10.246622278020203,74.77533536481837,10.250357881988064,74.75659980366625,8.21963614790094,85.72324707938192,17.937817833371778,45.39918733851888 
 01/01  02:00:00,6.0,,5.530412712993468,10.12505488810641,75.46341074135128,10.110495171579648,75.53698911417905,8.102432280096112,86.49833305921396,17.92620861344426,45.479496843168086 
 01/01  03:00:00,6.558333333333334,,6.065632465588906,10.140765387110212,75.35912435927379,10.121257976019828,75.4575780405832,8.092923471736627,86.52560041713186,17.918277889524674,45.487139084210035 
 01/01  04:00:00,6.541666666666667,,6.017843273561123,10.120655121433854,75.44718357094605,10.10291603582519,75.53682763996683,8.075690856309762,86.61166922291943,17.909150555461554,45.505170627301844 
 01/01  05:00:00,6.383333333333333,,5.949875238951461,10.089452724022475,75.59165341808404,10.068665871444805,75.69694001356739,8.043514747602439,86.78626647492776,17.899620165798897,45.52447977422449 
 01/01  06:00:00,6.358333333333333,,5.9875569203196255,10.072832890217434,75.6523187008038,10.045445499484405,75.7911959022343,8.00908887432451,86.96284098646863,17.890169739287515,45.537437640854755 
 01/01  07:00:00,6.516666666666667,,6.055826592666594,10.075543589211286,75.62770569513638,10.042937575129947,75.79302188126759,7.993237053215027,87.0442091956449,17.881318909459885,45.55626957344623 
 01/01  08:00:00,6.366666666666666,,5.88978551861364,10.057276079623884,75.72718509817594,10.02261864911888,75.90317274607082,7.973795123547624,87.16744924529094,17.872336606267243,45.58618842867685 
 01/01  09:00:00,6.666666666666667,,6.1691312852553795,10.049566003681635,75.0320808520773,10.005794376737759,75.25228546076151,7.952122820584198,86.44990769821176,17.863583069534847,45.169105086705166 
 01/01  10:00:00,7.0,,6.375137217615573,10.103321139751051,74.98605574152586,10.05569516915197,75.22554733677809,7.9999583363544176,86.42658525469665,17.85670725824694,45.32421750552384 
 01/01  11:00:00,7.408333333333335,,6.572758049115304,10.180462617349015,75.1374644034882,10.121796465150396,75.43294319935335,8.086236647931434,86.53983341308562,17.85162600610205,45.665080247326586 
 01/01  12:00:00,8.4,,7.383557799723035,10.242101565733476,74.83019995184203,10.176785985962253,75.15776912573453,8.187304949039595,85.94919930889596,17.841319758424774,45.69593136934166 
 01/01  13:00:00,9.658333333333333,,8.407419123827475,10.298022796058781,74.51589087816815,10.189945016339164,75.05615911372739,8.259784246527188,85.4865836210234,17.826837401997533,45.71597509540487 
 01/01  14:00:00,10.666666666666666,,9.147888948453543,10.429935952277953,73.1589321317744,10.288273424079426,73.85438992651515,8.37153807981997,84.03277397548582,17.825079301147607,45.2854677848109 
 01/01  15:00:00,9.891666666666667,,8.025597687061891,10.41423146069724,72.75548089667642,10.27484139296476,73.43612195330034,8.398718030954477,83.32742456392141,17.82112618844704,44.99991141011318 
 01/01  16:00:00,9.100000000000001,,7.326198812577988,10.27174335280007,74.0803048537361,10.119280032370881,74.83996021297935,8.293351538337653,84.64513534213533,17.811103489285163,45.41414372044262 
 01/01  17:00:00,10.033333333333331,,8.443066178235176,10.31819620167473,74.29548893100487,10.143338222509113,75.16930740298524,8.271201852896782,85.28251086184655,17.803706531084803,45.70891336878109 
 01/01  18:00:00,10.291666666666666,,8.717718163361239,10.375166239274074,73.38017419619155,10.206944945736659,74.21009831255368,8.298379552380572,84.39759302876541,17.79780450482546,45.335083277920695 
 01/01  19:00:00,9.183333333333335,,7.8697909748648955,10.287961434860208,74.00027974948652,10.134409370827951,74.76412870048942,8.25829334975977,84.84620513001762,17.789362321671405,45.476057494136136 
 01/01  20:00:00,8.833333333333334,,7.726147354502863,10.21386455749351,74.17617829111838,10.056864692544325,74.95958458287076,8.205120774842229,84.93427692155525,17.78008093449982,45.38589661208431 
 01/01  21:00:00,9.0,,7.9180937457491325,10.221821133028179,73.67031770559723,10.061016944984475,74.46740821393244,8.2013899505602,84.42154158710181,17.771734234174836,45.12416140404405 
 01/01  22:00:00,8.008333333333333,,6.780320443233862,10.119595788262615,74.84441449176835,9.98120821346344,75.54077489778886,8.152893938294497,85.46225663144186,17.75974178009313,45.563952611211505 
 01/01  23:00:00,7.3,,6.019940371598621,10.01912036906612,75.8221329425156,9.872889776997846,76.5683121980012,8.04928489999525,86.60671298378021,17.749435035932304,45.880168045657456 
 01/01  24:00:00,8.291666666666666,,6.948967525536375,10.209304377189296,74.84027454114413,10.022177520892582,75.78363871207101,8.09924229388418,86.28763199498054,17.75609912653341,45.84749031876411 
 01/02  01:00:00,8.066666666666666,,6.558363647745172,10.248311615254716,74.63447748678679,10.063735031605205,75.56201656972344,8.118950630867603,86.15963899159938,17.749090859050817,45.861177415918156 
 01/02  02:00:00,7.3999999999999995,,5.448471501112249,10.213934848684454,74.82063878012927,10.014286700171787,75.82727757532007,8.084680635622455,86.37731867353904,17.741174503093273,45.8928869296557 
 01/02  03:00:00,7.341666666666666,,5.026848650343136,10.194043103094753,74.92409114644934,9.981704082694428,75.99686454415826,8.06324408421175,86.50783247646537,17.734956460669306,45.91323944022317 
 01/02  04:00:00,7.125,,5.045501494655888,10.172314018508777,75.02756472682334,9.952807389852275,76.13856355201227,8.03540905569596,86.66543328607715,17.72831113726068,45.929072135560496 
 01/02  05:00:00,6.941666666666666,,4.984325026472887,10.127482520181905,75.21883545015315,9.906593984583134,76.34015165587802,8.000846903843868,86.83016872034928,17.720946771117433,45.92956670493748 
 01/02  06:00:00,6.8999999999999995,,4.925718206621644,10.100604969707595,75.34946536807524,9.875435480978874,76.49492559668728,7.968439904276244,87.01639840852397,17.713231863407017,45.94897159966348 
 01/02  07:00:00,6.841666666666666,,4.905723933879657,10.08351074867789,75.47848193741196,9.855873872282645,76.63874563645986,7.9479392298654234,87.18733653005002,17.70549695351997,45.99743578780046 
 01/02  08:00:00,6.8,,4.91428700623005,10.074651425467376,75.57412549339017,9.841975339581063,76.76188439817516,7.930093750410219,87.35215452488406,17.697620337279673,46.05127421148227 
 01/02  09:00:00,7.208333333333333,,5.5150973544623305,10.089210754443235,75.53254854712108,9.861944491972507,76.69182566892034,7.93714078396415,87.34734745819657,17.690220190398325,46.09228437468619 
 01/02  10:00:00,7.1499999999999995,,5.2675791653630775,10.167580040117342,75.21751105978574,10.063508719914958,75.744315589235,8.147436985656938,86.19984965937557,17.68486207883621,46.157076632717626 
 01/02  11:00:00,6.491666666666667,,4.972422760577505,10.2483104101581,74.89601476166551,10.497983072421048,73.66064107800979,8.720262040057081,83.01374324674283,17.680302370818797,46.22175392180997 
 01/02  12:00:00,6.258333333333333,,4.006113432625657,10.27386364183615,74.79319612724767,10.676644749780394,72.80935235001452,9.202962272860448,80.3667500924816,17.665268187416014,46.279878473366985 
 01/02  13:00:00,6.241666666666667,,3.1208577002841977,10.421104658500889,74.070624307694,10.669542565261112,72.84737877947286,9.368656716819556,79.47945890969888,17.64284886307475,46.343652220920454 
 01/02  14:00:00,6.375,,3.298074012111687,11.262189420174614,70.02833029873649,11.307200190436097,69.81721318629683,10.135622878474178,75.48727292765784,17.649683806832456,46.32394446180717 
 01/02  15:00:00,6.266666666666667,,3.5959471946643418,11.639205631142147,68.30576004797648,11.395925022138826,69.4135254800291,10.372274904927425,74.3055289365561,17.6398771066448,46.357049589142406 
 01/02  16:00:00,6.275000000000001,,4.294798160967024,11.853079514687197,67.37068391351767,11.33292250507174,69.72938489309085,10.33837944825162,74.50120171301252,17.634877616411895,46.38845413664683 
 01/02  17:00:00,5.466666666666668,,3.819644716370238,11.547575548117495,68.78680270876832,10.996149006382126,71.34419621755545,9.954818078661928,76.4797798133042,17.618422256701052,46.45762873769348 
 01/02  18:00:00,4.216666666666666,,2.6638739620657526,10.852100030580909,72.05987140243695,10.47725613906335,73.87977603319034,9.337955880916555,79.74616982700164,17.583713099272412,46.579412313522404 
 01/02  19:00:00,3.216666666666667,,2.031164201392895,10.386477791689547,74.38552479817919,10.229739046776155,75.16702951184514,9.01416043317504,81.56549662118665,17.554815565455897,46.699561904383415 
 01/02  20:00:00,2.4499999999999997,,1.5318634991766347,10.040637069094831,76.16484087979448,10.059323456278406,76.06846670533696,8.802554978056865,82.78291756300833,17.525343468408046,46.81084213395305 
 01/02  21:00:00,2.025,,1.0768067385462339,9.76068590341976,77.63818051118143,9.910485416007035,76.86114171431744,8.628738260010174,83.79553278557917,17.49789364776436,46.91055661241669 
 01/02  22:00:00,1.9000000000000001,,0.7571247729641645,9.534142935983676,78.87146023572508,9.781137522506265,77.57305764075046,8.480001952204505,84.69049163613964,17.473341797917232,47.00892822237498 
 01/02  23:00:00,1.55,,0.5022635391673492,9.346365600369365,79.91235819761617,9.666388714822064,78.21025592625814,8.34378877528123,85.5175428649323,17.451353140127157,47.09668535997565 
 01/02  24:00:00,1.3583333333333334,,0.6274856187042869,9.21039337849299,80.68291642246857,9.57721118200456,78.7147458946087,8.226247082232476,86.24069830447023,17.432105763551615,47.17469977454491 
 01/03  01:00:00,1.2249999999999999,,0.6601366758335512,9.250123269840712,80.49546515674264,9.597918146780527,78.63118944691446,8.164913402801329,86.62828842250701,17.424196090413147,47.21323705182346 
 01/03  02:00:00,1.3333333333333333,,0.826587971193048,9.483331449044863,79.24236012430299,9.760308264619907,77.78105070702314,8.172302905988108,86.58916903216254,17.43480157292544,47.18400920294663 
 01/03  03:00:00,1.6166666666666665,,1.0932177628408148,9.49093629940163,79.22777348121508,9.756472855497769,77.82657725897424,8.130266589190756,86.86552677278372,17.427634480684763,47.220848513346645 
 01/03  04:00:00,1.7583333333333335,,1.2420543613275739,9.48262663159087,79.29737460179814,9.733052544589205,77.9739074417176,8.07343423325919,87.22979305480682,17.419216660390195,47.26105107114308 
 01/03  05:00:00,1.5083333333333335,,1.023173800964357,9.440189907652666,79.52462537884331,9.683703804573387,78.23326778348589,7.9967968348797065,87.68657827159741,17.410593831157158,47.28704982468967 
 01/03  06:00:00,1.3583333333333334,,0.9118108542570605,9.374556786664167,79.88415554731614,9.605653885647975,78.65186516883841,7.892493549493568,88.31987268628,17.401309261490457,47.31923281656017 
 01/03  07:00:00,0.9916666666666667,,0.5427178651806507,9.306662040585543,80.2795318219653,9.54430669515911,79.00562592083969,7.801902496008956,88.89925450901991,17.392134812811193,47.363841045892684 
 01/03  08:00:00,0.6416666666666667,,0.24365370751313167,9.210720198737807,80.8401936003737,9.457674669591187,79.50661321696874,7.688148814570153,89.63606329214325,17.381434324885046,47.41931041201823 
 01/03  09:00:00,0.7166666666666667,,0.36639575044620254,9.155560427052231,81.1846641319793,9.473978116979962,79.46332189358185,7.661933333011109,89.84544831365066,17.370928474026467,47.47615163105838 
 01/03  10:00:00,0.9166666666666666,,0.5633073386704143,9.215153765134323,80.89700976728011,9.949409896764465,77.00424155944312,8.122450044702317,87.11467322453234,17.362624540156464,47.52334274013963 
 01/03  11:00:00,1.4666666666666668,,0.8187499058273602,9.357509303276608,80.16587581182185,10.359732426967778,74.95498612392846,8.617785138143386,84.27553079357216,17.357075388367797,47.56395138847151 
 01/03  12:00:00,2.15,,0.9745069498938069,9.663408916779217,78.52252613473946,10.558395820908254,73.95460041314999,8.904989960258602,82.63810213595787,17.356659156788698,47.55791265832806 
 01/03  13:00:00,2.75,,1.2858211314928174,9.985362584071835,76.81033103227112,10.662649497088468,73.41014004984707,9.079392951255086,81.63450367839634,17.360743843650745,47.524873152258046 
 01/03  14:00:00,3.1166666666666667,,1.5613008352952933,10.268103764947254,75.34018277398074,10.758475736528963,72.91396493731497,9.239403944337893,80.72609503290268,17.366344243446797,47.489119838061356 
 01/03  15:00:00,3.4916666666666667,,1.8017352348242655,10.528382357587162,74.02616296671532,10.83672160540442,72.51978075326467,9.384519929113031,79.92375334788808,17.371575366005512,47.463440297245256 
 01/03  16:00:00,3.5833333333333335,,2.0703353898074064,10.70174222178072,73.18277541001778,10.81471560428335,72.6345369971039,9.422052886945746,79.73103072993982,17.37397915738383,47.4615710782893 
 01/03  17:00:00,3.2666666666666675,,2.100165717021548,10.615453188762359,73.61309434569341,10.601295271496076,73.6830783712957,9.193969373296676,80.97550896491283,17.370301527639544,47.47767526761427 
 01/03  18:00:00,2.341666666666667,,1.5508686801550107,10.25955658586057,75.39348427734058,10.305930264165683,75.15867025450031,8.790807909196701,83.22072256480413,17.36054429157497,47.51192652017452 
 01/03  19:00:00,1.7416666666666665,,1.2364633737233988,9.956911607528351,76.95297369870127,10.112166886134474,76.15641814865045,8.517311065394056,84.79478762642485,17.34536140597725,47.569139233588096 
 01/03  20:00:00,1.4083333333333332,,1.0217908765003705,9.775645456448862,77.91372293697638,10.02936775696905,76.59905303816637,8.368628183234161,85.67569337217236,17.328688899237097,47.63130691701042 
 01/03  21:00:00,1.1416666666666666,,0.7847657584667433,9.586595654734017,78.9201470983154,9.930282216488195,77.11979786570743,8.222604083499714,86.54138895407004,17.310270093689137,47.693224694771 
 01/03  22:00:00,0.9249999999999999,,0.5715735011116929,9.38531818972493,80.00100617169183,9.803397518280683,77.78380968116396,8.044382256527081,87.60229397987523,17.290804534220285,47.754968769944504 
 01/03  23:00:00,0.5083333333333333,,0.15798279409783758,9.222963505539314,80.86563906363129,9.695363903931563,78.33542505820245,7.879221292929608,88.57648097508884,17.271699563473586,47.80395704094676 
 01/03  24:00:00,1.3499999999999999,,0.9540269821043967,9.107690891834926,81.47868707859662,9.635294978760868,78.6347007016623,7.765656716394806,89.24509600530091,17.254244431660126,47.84617485206822 
 01/04  01:00:00,2.1583333333333337,,1.501863084751766,8.994782599226202,82.07087852752387,9.572522354417515,78.93713149959568,7.658179737660499,89.86775998994358,17.237471005097643,47.87874120798557 
 01/04  02:00:00,0.9750000000000001,,0.2631521725428376,8.826754983804658,82.95105565252551,9.444540959146291,79.56468993940697,7.496833454973811,90.80125772473964,17.21917765907776,47.90091048719393 
 01/04  03:00:00,-0.3666666666666667,,-0.9903019891464598,8.603001226185645,84.16957875648242,9.260615222448637,80.51091543210454,7.286437646374881,92.06543812662854,17.19928565454332,47.93425026253032 
 01/04  04:00:00,-0.4083333333333334,,-1.0309304805529267,8.435113259876216,85.07388161296343,9.134904714366275,81.14007067537925,7.127669273970862,93.00814818878924,17.180278228269973,47.95898660824241 
 01/04  05:00:00,0.26666666666666666,,-0.5293715674625491,8.352072069491449,85.5098013332306,9.086180570505354,81.36460025673661,7.006302183527416,93.73637364353935,17.161989550562698,47.98940607303257 
 01/04  06:00:00,0.016666666666666663,,-0.8603741145210241,8.239642329349236,86.1148933569384,9.010670705978555,81.7325204037926,6.889287392667465,94.43703518155165,17.143711055289014,48.016710640501834 
 01/04  07:00:00,-0.2833333333333333,,-1.2096267345110283,8.09675357318136,86.9025389224387,8.894448365338564,82.32672321988441,6.745736000346248,95.31544638844986,17.125317288707667,48.04353290213346 
 01/04  08:00:00,-0.08333333333333333,,-1.0056514383805035,7.999385804237239,86.30501187614732,8.821392026833735,81.62313542984425,6.6293459439759275,94.79071138503656,17.108675068155144,47.44855532571552 
 01/04  09:00:00,-0.2916666666666667,,-1.2562866883571413,7.90810181681439,87.15035179039103,8.902359105517194,81.46492329536147,6.656602887925573,94.94717200278846,17.09281508981366,47.663521021297235 
 01/04  10:00:00,0.31666666666666665,,-1.0136289038897524,7.973485016980162,87.56424142523723,9.995551919310799,76.41001253563749,7.689211456480289,89.30877016164773,17.080974635052268,48.13973446485364 
 01/04  11:00:00,2.125,,0.22216578858104089,8.290693580940683,84.62090409789481,11.136470875754185,69.91524780038215,8.975671004050971,80.81736519241998,17.07616379300131,47.54490357602976 
 01/04  12:00:00,4.3999999999999995,,1.740874149416622,9.079456690369357,80.47018551182586,11.983286858410738,66.29267341873296,10.25092546284425,74.38377240382998,17.079246977846044,47.68568379301845 
 01/04  13:00:00,6.625,,3.2766569620526558,10.141382933950217,75.54981151221733,12.576423892126039,64.27576235254165,11.26809139525191,70.07992527920432,17.089009733382067,48.04293393780993 
 01/04  14:00:00,8.433333333333334,,4.354678570960072,11.285738380282732,69.94124232368029,13.090561171349668,62.09128224660737,12.14299838962427,66.08046480198247,17.10352524387933,47.956775647547204 
 01/04  15:00:00,9.158333333333331,,4.858602800056754,12.285228917544083,65.44789886636423,13.386353054198295,60.88473908833989,12.756126553274228,63.44787452449838,17.119112092373214,47.89653053888495 
 01/04  16:00:00,9.316666666666666,,5.2176473470317655,12.889832828460106,62.89841139654464,13.35745916727408,61.004190494344755,12.856126290974496,63.03670993613708,17.131960385145018,47.860942553642445 
 01/04  17:00:00,8.116666666666667,,4.732148790221134,12.819713877713605,63.178925050640466,12.963070994133792,62.589709031957305,12.247891251010968,65.60432112525068,17.138302341718347,47.8344084498479 
 01/04  18:00:00,4.575,,2.3067766616720164,12.034916218442897,66.54727513224283,12.398443931965858,64.96654510147263,11.249247668757834,70.09613221613073,17.133729137233125,47.8591993291843 
 01/04  19:00:00,1.941666666666667,,0.6203652741261587,11.306943797010055,69.86258957635367,11.976761999126552,66.83202421450078,10.638010201169628,73.03689283910937,17.1197957011127,47.92921263620739 
 01/04  20:00:00,0.875,,-0.2986882215009434,10.76580662775526,71.574268259919,11.687480744367527,67.3280149983547,10.263210654059657,74.01476464224181,17.101318302384584,47.42857991307226 
 01/04  21:00:00,0.20833333333333334,,-0.8368866610459543,10.351478097444854,73.84092378583426,11.485474975193334,68.47362090320694,9.969063995972764,75.75305598842543,17.079298652859553,47.65999290487489 
 01/04  22:00:00,1.05,,-0.12502115497005675,10.071013965450133,75.85330901049416,11.359899125815042,69.61155226786349,9.760179614543455,77.45040095879968,17.05744319919906,48.118287573866304 
 01/04  23:00:00,2.6166666666666667,,0.8816504709486357,9.914788673052119,76.65899624161985,11.311015606571049,69.84457201545119,9.629816253769441,78.13938021714914,17.038377248366782,48.18136631933405 
 01/04  24:00:00,1.0416666666666667,,-0.16221150703664183,9.700074091456106,77.83768636369355,11.18200210671772,70.50442350361087,9.441748498429115,79.20080159959939,17.018612609731232,48.28185086696684 
 01/05  01:00:00,-1.0250000000000001,,-1.7178491055332,9.43845878770708,79.2575215443744,10.972890488132514,71.5260626596651,9.179828891982472,80.65087504297131,16.997363464717605,48.37145745711357 
 01/05  02:00:00,-2.1,,-2.686694355226613,9.287278504705533,80.09697650071742,10.866701204948226,72.05861576974982,8.999620328129284,81.66650823593771,16.979122688188884,48.44468677543808 
 01/05  03:00:00,-0.9083333333333337,,-1.6300000599300064,9.187567684294494,80.63380440022273,10.805671248802712,72.34907123264769,8.871848873035933,82.37121244092124,16.964130512602118,48.488975623070736 
 01/05  04:00:00,0.5333333333333333,,-0.5985008964177742,9.156759005883206,80.78354239797028,10.800090383693863,72.35984189293669,8.795231400467134,82.78073873383784,16.952872830184383,48.51279734908289 
 01/05  05:00:00,1.05,,-0.15268245433102823,9.129320597017653,80.94137122543013,10.773782076118984,72.49403472888712,8.707401355258778,83.28257662356759,16.943384799394565,48.546924395165775 
 01/05  06:00:00,1.3,,0.2791999951128355,9.117686006377605,81.02368380593207,10.750201037668331,72.62478923152644,8.631795318028674,83.72945739821945,16.937107779629066,48.577488641183045 
 01/05  07:00:00,1.4166666666666667,,0.09819065491138956,9.1034043137002,81.10674446224255,10.714040777515969,72.80434715597902,8.548713451407329,84.20722105372838,16.93232911009702,48.595187039065536 
 01/05  08:00:00,1.4416666666666667,,-0.34583387531342097,9.097222455724122,81.13237380469253,10.685082611721397,72.93758273356671,8.472710468280516,84.63372107446123,16.92878865467091,48.60117590845118 
 01/05  09:00:00,1.4583333333333333,,-0.025368463769858175,9.047288461603413,80.38085773350143,10.677348535487702,72.05848262217836,8.44168476739369,83.74637008759278,16.925927635432952,47.99791110265702 
