Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Drybulb Temperature [C](Monthly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),MEETING:Zone Air Temperature [C](Hourly),MEETING:Zone Air Relative Humidity [%](Hourly),RDC:Zone Air Temperature [C](Hourly),RDC:Zone Air Relative Humidity [%](Hourly),RPLUS1:Zone Air Temperature [C](Hourly),RPLUS1:Zone Air Relative Humidity [%](Hourly),SS:Zone Air Temperature [C](Hourly),SS:Zone Air Relative Humidity [%](Hourly),HEATING SCHEDULE:Schedule Value [](Hourly),RDC THERMOSTAT SCHEDULE:Schedule Value [](Hourly),RPLUS1 THERMOSTAT SCHEDULE:Schedule Value [](Hourly),ALWAYS ON DISCRETE:Schedule Value [](Hourly),ALWAYS OFF DISCRETE:Schedule Value [](Hourly),ALWAYS ON CONTINUOUS:Schedule Value [](Hourly),ALWAYS ON:Schedule Value [](Hourly),COOLING SCHEDULE:Schedule Value [](Hourly),ADU RDC-AIR TERMINAL SINGLE DUCT CONSTANT VOLUME NO REHEAT 1:Zone Air Terminal Sensible Heating Rate [W](Hourly),ADU RPLUS1-AIR TERMINAL SINGLE DUCT CONSTANT VOLUME NO REHEAT 2:Zone Air Terminal Sensible Heating Rate [W](Hourly),FAN CONSTANT VOLUME 1:Fan Electricity Rate [W](Hourly),COIL HEATING DX SINGLE SPEED 1:Heating Coil Heating Rate [W](Hourly),COIL HEATING DX SINGLE SPEED 1:Heating Coil Electricity Rate [W](Hourly),COIL HEATING ELECTRIC 1:Heating Coil Heating Rate [W](Hourly),COIL HEATING ELECTRIC 1:Heating Coil Electricity Rate [W](Hourly),Electricity:Facility [J](TimeStep) 
 01/01  01:00:00,-5.0,,-5.000005444813285,-0.21604694657019785,66.91960993520222,5.000014736997891,19.484608885036206,4.11935891422577,20.723407676546255,10.874289220399803,30.861947081233453,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,22344520.20906765 
 01/01  02:00:00,-5.0,,-5.000005444813285,-0.23895047704808017,67.04615442317203,5.000004799122058,19.484622168633365,4.072417520310212,20.79186401183069,10.819135559892459,30.975432276286668,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,21345969.145483468 
 01/01  03:00:00,-5.0,,-5.000005444813285,-0.2600375678423195,67.16289340547527,5.000001573446554,19.484626704498208,4.032615989768313,20.850105913660943,10.761796477616812,31.093908568362,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,20425704.83227827 
 01/01  04:00:00,-5.0,,-5.000005444813285,-0.2797476459889546,67.27220954277611,5.000000519286258,19.4846280004597,3.9986200584811984,20.899996379615658,10.703402806282812,31.215086824224553,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,19570446.818789087 
 01/01  05:00:00,-5.0,,-5.000005444813285,-0.2983840670806962,67.37574929974306,5.000000172497412,19.484628648440573,3.969601245072141,20.942688249801897,10.64473143680925,31.337373599676084,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,18771947.72552221 
 01/01  06:00:00,-5.0,,-5.000005444813285,-0.31621000259541737,67.47494875095028,5.000000057670238,19.484628648440573,3.9447382780778706,20.979343304041283,10.58605643365128,31.460203827742262,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,18024308.500881128 
 01/01  07:00:00,-5.0,,-5.000005444813285,-0.3334169565524589,67.5708545420059,5.000000019404357,19.48462864844058,3.9234621163282184,21.01076742835743,10.5275059859818,31.583310906257584,5.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,1861.9102397492563,0.0,0.0,0.0,0.0,17322863.795917533 
 01/01  08:00:00,-5.0,,-5.000005444813285,-0.34949156023939437,67.66058916225184,18.34616895113267,8.335975593932462,18.547061809260324,8.304632903276337,10.47320886245084,31.697986213750532,20.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,32280.874836462728,27702.080956823873,1861.9102397492557,20865.549750402217,6322.903178538959,38546.4930907321,38546.4930907321,169432705.8324732 
 01/01  09:00:00,-5.0,,-5.000005444813285,-0.3587773513829608,67.71247735644805,19.96111931719603,7.286338725510473,20.373032178686536,7.1030590092608525,10.421153572364249,31.808331042299972,20.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,39530.28132314722,33688.9727390545,1861.910239749256,20865.549750402213,6322.903178538963,51254.09867571376,51254.09867571376,215180085.9384071 
 01/01  10:00:00,-5.0,,-5.000005444813285,-0.3509883488352187,67.6689464340526,19.994288366721687,7.271279416798828,20.911490665902306,6.8711475092066365,10.388937854110416,31.87681966245826,20.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,34854.6829763437,28922.067974882986,1861.9102397492563,20865.549750402217,6322.903178538963,41520.78556032365,41520.78556032365,180140158.72300273 
