Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Drybulb Temperature [C](Monthly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),MEETING:Zone Air Temperature [C](Hourly),MEETING:Zone Air Relative Humidity [%](Hourly),RDC:Zone Air Temperature [C](Hourly),RDC:Zone Air Relative Humidity [%](Hourly),RPLUS1:Zone Air Temperature [C](Hourly),RPLUS1:Zone Air Relative Humidity [%](Hourly),SS:Zone Air Temperature [C](Hourly),SS:Zone Air Relative Humidity [%](Hourly),HEATING SCHEDULE:Schedule Value [](Hourly),HIGH TEMP RADIANT SETPOINT:Schedule Value [](Hourly),MEETING THERMOSTAT SCHEDULE:Schedule Value [](Hourly),RDC THERMOSTAT SCHEDULE:Schedule Value [](Hourly),RPLUS1 THERMOSTAT SCHEDULE:Schedule Value [](Hourly),ALWAYS ON DISCRETE:Schedule Value [](Hourly),ALWAYS OFF DISCRETE:Schedule Value [](Hourly),ALWAYS ON CONTINUOUS:Schedule Value [](Hourly),ALWAYS ON:Schedule Value [](Hourly),COOLING SCHEDULE:Schedule Value [](Hourly),MEETING HIGH TEMP RADIANT:Zone Radiant HVAC Heating Rate [W](Hourly),MEETING HIGH TEMP RADIANT:Zone Radiant HVAC Heating Energy [J](Hourly),RDC HIGH TEMP RADIANT:Zone Radiant HVAC Heating Rate [W](Hourly),RDC HIGH TEMP RADIANT:Zone Radiant HVAC Heating Energy [J](Hourly),RPLUS1 HIGH TEMP RADIANT:Zone Radiant HVAC Heating Rate [W](Hourly),RPLUS1 HIGH TEMP RADIANT:Zone Radiant HVAC Heating Energy [J](Hourly),NaturalGas:Facility [J](TimeStep) 
 01/01  01:00:00,-5.0,,-5.000005444813285,13.341467516285396,26.23161378335887,15.822245705187823,22.34645670901338,13.896305084358092,25.300956421678634,16.599197971730018,21.2658381414986,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  02:00:00,-5.0,,-5.000005444813285,13.107612871243221,26.635315509103176,15.655492550098371,22.586336529729483,13.604091848438019,25.786401789997914,16.586523048579714,21.28298981595708,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  03:00:00,-5.0,,-5.000005444813285,12.887428296700183,27.02179165791785,15.493720186460525,22.821815651112853,13.316022373332022,26.275205877461726,16.574157735950326,21.299735761938067,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  04:00:00,-5.0,,-5.000005444813285,12.676030419657337,27.398767566066738,15.335932585149909,23.054151833633764,13.032727731529873,26.766056948870716,16.56206545340692,21.316127904193966,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  05:00:00,-5.0,,-5.000005444813285,12.47070126988522,27.770570351145825,15.180030885444403,23.286319943702264,12.753903428668671,27.259218727516103,16.550021478674505,21.332468195106813,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  06:00:00,-5.0,,-5.000005444813285,12.270713457365934,28.138143638493275,15.025746409168262,23.518665545229837,12.479385642552062,27.75473136623911,16.537973423579714,21.348827732358007,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  07:00:00,-5.0,,-5.000005444813285,12.075415604577211,28.502364920931495,14.873336544092751,23.75074476295895,12.209123963286757,28.252439467786385,16.525967868507383,21.365144303210695,5.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  08:00:00,-5.0,,-5.000005444813285,19.136810484260444,18.33052407958023,19.366437581012804,17.96988256831712,18.643936098441053,18.91830522741603,16.515370685978812,21.379559342439716,20.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,7453.535980339037,26832729.529220533,30511.309653174474,109840714.7514281,34217.00931730032,123181233.5422811,288727419.8032553 
 01/01  09:00:00,-5.0,,-5.000005444813285,20.009363373854285,17.169108048279984,20.21494655370709,16.952579341786482,20.32007474859724,16.848946361729507,16.50378439425617,21.395330929933433,20.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,7453.5359803390365,26832729.52922053,30511.309653174485,109840714.75142816,34217.009317300304,123181233.54228114,288727419.8032553 
 01/01  10:00:00,-5.0,,-5.000005444813285,21.283222141529812,15.87449233783573,20.841612388156406,16.30922243677737,21.42861275074592,15.733011903188068,16.491154718375476,21.412537566169306,20.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,7138.060853055624,25697019.07100025,30101.551142550867,108365584.11318311,32628.213507153418,117461568.6257523,279471302.0110396 
 01/01  11:00:00,-5.0,,-5.000005444813285,21.19388260117827,15.959048945528783,20.86477295125278,16.28511018260254,21.313782800204585,15.842089693469921,16.477533904556537,21.431111523161068,20.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,5867.014585847741,21121252.509051867,27221.79866087783,97998475.1791602,27255.486213126784,98119750.36725642,241377197.8394094 
 01/01  12:00:00,-5.0,,-5.000005444813285,21.134673697418094,16.01716348510973,20.867659622751376,16.282217751261506,21.215295232735496,15.93809031719202,16.46387754443059,21.449753071815188,20.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,5574.052470349156,20066588.89325696,26148.768056258985,94135565.00253235,25984.24291310973,93543274.48719503,230828253.7588715 
 01/01  13:00:00,-5.0,,-5.000005444813285,21.200611198877098,15.952459221212866,20.908436245458258,16.241423250827904,21.27595179799199,15.878888411643757,16.451195561292483,21.467080499798556,20.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,5285.396981715441,19027429.134175587,24764.4501786006,89152020.64296216,24525.209269252784,88290753.36931002,218300225.7182753 
 01/01  14:00:00,-5.0,,-5.000005444813285,21.128211394119646,16.0235205482077,20.90480206893902,16.245054657595563,21.167019243236968,15.985386086361963,16.43901477452721,21.48373733966258,20.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,4921.572122563587,17717659.641228914,23335.257638009905,84006927.49683566,22160.763615204698,79778749.0147369,201670373.50311273 
 01/01  15:00:00,-5.0,,-5.000005444813285,21.163906898264095,15.988441094552277,20.907855483475203,16.242003490400236,21.189296331427972,15.96354191191535,16.42681572559116,21.500434807779325,20.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,4876.375402999963,17554951.450799868,22371.623091493453,80537843.12937643,21792.007491505068,78451226.96941824,196160023.94399393 
 01/01  16:00:00,-5.0,,-5.000005444813285,21.14020430866541,16.011725271302915,20.917294331196754,16.232576772719433,21.18468537324291,15.96806060481611,16.414557296974774,21.517227881211767,20.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,4669.084984786178,16808705.945230242,21455.5284553876,77239902.43939537,20568.595066111484,74046942.23800135,186772834.02514106 
