Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Drybulb Temperature [C](Monthly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),MEETING:Zone Air Temperature [C](Hourly),MEETING:Zone Air Relative Humidity [%](Hourly),RDC:Zone Air Temperature [C](Hourly),RDC:Zone Air Relative Humidity [%](Hourly),RPLUS1:Zone Air Temperature [C](Hourly),RPLUS1:Zone Air Relative Humidity [%](Hourly),SS:Zone Air Temperature [C](Hourly),SS:Zone Air Relative Humidity [%](Hourly),HEATING SCHEDULE:Schedule Value [](Hourly),RDC THERMOSTAT SCHEDULE:Schedule Value [](Hourly),RPLUS1 THERMOSTAT SCHEDULE:Schedule Value [](Hourly),COOLING SCHEDULE:Schedule Value [](Hourly),ALWAYS ON DISCRETE:Schedule Value [](Hourly),ALWAYS OFF DISCRETE:Schedule Value [](Hourly),ALWAYS ON CONTINUOUS:Schedule Value [](Hourly),ALWAYS ON:Schedule Value [](Hourly),ADU RDC-AIR TERMINAL SINGLE DUCT CONSTANT VOLUME NO REHEAT 1:Zone Air Terminal Sensible Heating Rate [W](Hourly),ADU RPLUS1-AIR TERMINAL SINGLE DUCT CONSTANT VOLUME NO REHEAT 2:Zone Air Terminal Sensible Heating Rate [W](Hourly),FAN CONSTANT VOLUME 1:Fan Electricity Rate [W](Hourly),COIL HEATING DX SINGLE SPEED 1:Heating Coil Heating Rate [W](Hourly),COIL HEATING DX SINGLE SPEED 1:Heating Coil Electricity Rate [W](Hourly),COIL HEATING ELECTRIC 1:Heating Coil Heating Rate [W](Hourly),COIL HEATING ELECTRIC 1:Heating Coil Electricity Rate [W](Hourly),Electricity:Facility [J](TimeStep) 
 01/01  01:00:00,-5.0,,-5.000005444813285,0.20447702966386183,64.76389225558023,12.035109996032363,28.52218469725128,11.531885021772322,29.486217789052834,13.50054068080583,25.960927244425513,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1105.4881020502098,1670.847814540815,1861.9102397492563,471.75353045962896,189.18201607586917,0.0,0.0,7419836.335682836 
 01/01  02:00:00,-5.0,,-5.000005444813285,0.18707889774579858,64.845666876254,11.907454146238855,28.7633345006199,11.367501290942275,29.80898855986687,13.481199360796467,25.993671075522062,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1061.2700172335237,1684.511449653081,1861.9102397492563,442.6721461728402,177.60172908227094,0.0,0.0,7375949.519020573 
 01/01  03:00:00,-5.0,,-5.000005444813285,0.1704085563220791,64.92412856612599,11.785883814520426,28.995125859402755,11.211821437869808,30.118331772700422,13.45665500572226,26.035291355007338,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1022.690927763773,1699.3567840995333,1861.9102397492563,441.1990865852401,177.01486840031487,0.0,0.0,7373725.442262412 
 01/01  04:00:00,-5.0,,-5.000005444813285,0.1543744034009313,64.99969568370233,11.667743422221829,29.222389565350415,11.061733964947816,30.41996789390209,13.429532788529954,26.081368847449244,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,979.2995680643014,1706.9686267709117,1861.9102397492563,418.9383868080518,168.14295997853094,0.0,0.0,7340102.802463721 
 01/01  05:00:00,-5.0,,-5.000005444813285,0.13885739210172288,65.07291879672724,11.553073756170978,29.444887407383767,10.917181674972198,30.71367962994921,13.400732359433428,26.130397972203205,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,942.1639108282092,1717.0810180884107,1861.9102397492563,405.4195682113349,162.75203176789634,0.0,0.0,7319672.334881152 
 01/01  06:00:00,-5.0,,-5.000005444813285,0.1237267086343712,65.14440728981147,11.441389411764487,29.663416768099864,10.777319605227127,31.00088674943698,13.37016863115013,26.18254198223354,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,907.3941964745918,1726.8308051888691,1861.9102397492563,391.9151208606508,157.36452405994007,0.0,0.0,7299254.8302738555 
 01/01  07:00:00,-5.0,,-5.000005444813285,0.10889068280156075,65.21458851326845,11.3323681022747,29.878487924279813,10.641586371428081,31.282492665842142,13.337906219616439,26.237710308130396,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,875.5090403703168,1737.0061059329514,1861.9102397492563,380.399641035386,152.76867631782324,0.0,0.0,7281837.548009827 
 01/01  08:00:00,-5.0,,-5.000005444813285,0.0947648096263813,65.28149198125418,19.443242060128043,17.861921216333478,18.275955036681893,19.188545897191165,13.306959679618334,26.290759285683187,20.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,19832.638759234895,18809.80821592544,1861.9102397492572,19706.352542046545,5971.630779731245,18535.243195531526,18535.243195531526,96150526.24841754 
 01/01  09:00:00,-5.0,,-5.000005444813285,0.08463943642454326,65.3294907432392,19.976318635949706,17.169734253445156,19.748851867880372,17.415959471247454,13.275263961075641,26.34520790997828,20.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,25082.551939352976,22067.21799436709,1861.9102397492566,20865.549750402224,6322.903178538963,25055.93464298294,25055.93464298294,120866695.42057616 
 01/01  10:00:00,-5.0,,-5.000005444813285,0.08478840805320179,65.32878294365781,19.996279261692834,17.148463565491255,20.12648122098784,17.010821717256597,13.250504742384233,26.387823846226013,20.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,23112.381127960085,19852.812626691994,1861.9102397492563,20865.549750402217,6322.903178538963,20547.621827117535,20547.621827117535,104636769.28346072 
 01/01  11:00:00,-5.0,,-5.000005444813285,0.09174657196587609,65.2957929075364,19.99956176158142,17.144976800765736,20.26482074791004,16.865847970142276,13.24053173281638,26.405011483475793,20.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,22236.85646025846,18902.571674525152,1861.9102397492563,20865.549750402228,6322.903178538963,18560.642971120724,18560.642971120724,97483645.40187219 
 01/01  12:00:00,-5.0,,-5.000005444813285,0.09966153230147673,65.25828911878439,19.9998706820277,17.1446486454193,20.338089432437272,16.789651508984573,13.246438668473575,26.394828438914526,20.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,21430.372835006656,18100.10094524871,1861.9102397492563,20865.549750402217,6322.903178538963,16907.24992521194,16907.24992521194,91531430.43660058 
 01/01  13:00:00,-5.0,,-5.000005444813285,0.10525957614721246,65.23177814092162,19.999961665565806,17.144552428287003,20.381592267640976,16.74459373285877,13.262314605461404,26.36748228275012,20.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,20838.316446347104,17525.359767787217,1861.9102397492563,20865.549750402217,6322.903178538963,15697.954840842427,15697.954840842427,87177968.13287033 
 01/01  14:00:00,-5.0,,-5.000005444813285,0.10868141490851073,65.2155790498665,19.999988591990988,17.144523056826273,20.406527240364642,16.71882903033714,13.282162294898042,26.333338902894234,20.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,20327.262177682744,17047.040066120742,1861.9102397492563,20865.549750402228,6322.903178538963,14682.188427565388,14682.188427565388,83521209.04507299 
 01/01  15:00:00,-5.0,,-5.000005444813285,0.11053286447811222,65.20681611103632,19.999996593166934,17.14451495437053,20.420317996989677,16.704598076959147,13.303468211351966,26.296743058565582,20.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,19869.562717325705,16630.72687500537,1861.9102397492563,20865.549750402228,6322.903178538963,13792.367216457713,13792.367216457713,80317852.68508536 
 01/01  16:00:00,-5.0,,-5.000005444813285,0.11113068892470788,65.20398686207209,19.999998979297008,17.144512928766066,20.427442524291227,16.697252248249,13.325155128419219,26.259550507817774,20.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,19451.3525384921,16258.078596171828,1861.9102397492563,20865.549750402228,6322.903178538963,12992.06173755133,12992.06173755133,77436752.96102238 
 01/01  17:00:00,-5.0,,-5.000005444813285,0.11075546314615292,65.20576262392123,19.999999693259795,17.144511915963374,20.43035544702771,16.694249077537343,13.344632627656619,26.226196889726168,20.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,19065.366088614046,15919.32679633972,1861.9102397492563,20865.549750402228,6322.903178538963,12261.358091138854,12261.358091138854,74806219.83393747 
 01/01  18:00:00,-5.0,,-5.000005444813285,0.10968083417094754,65.21084863773503,15.497595163651454,22.87285756549156,15.767584164731087,22.484743205811668,13.36078225941454,26.19858147437361,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,2793.4283029686967,2039.5044525807898,1861.910239749256,1463.9363220160824,567.2500538343012,0.0,0.0,8852633.525263585 
 01/01  19:00:00,-5.0,,-5.000005444813285,0.10558637845318099,65.23023114396572,14.074636585103857,24.97084279553655,14.171134793291673,24.81710090756465,13.3802888476858,26.165266754480683,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1618.7084304483892,1290.2527100341044,1861.9102397492566,745.4476438075774,295.3534890851498,0.0,0.0,8346167.375338713 
 01/01  20:00:00,-5.0,,-5.000005444813285,0.09375792974429131,65.28626235290291,13.187065819493597,26.448681016761412,12.95035825597313,26.86267155774527,13.398408625130905,26.13436070998592,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1604.927680069631,1726.5066302343455,1861.9102397492563,892.0668389481955,351.8948432394435,0.0,0.0,8489552.070831459 
 01/01  21:00:00,-5.0,,-5.000005444813285,0.07692714922708763,65.36607955426956,12.673769126776943,27.33668092263363,12.395493353104198,27.840481138174034,13.409896511910471,26.114786527575113,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1414.127299611338,1619.9434412668988,1861.9102397492563,756.8017136129599,298.559669357656,0.0,0.0,8306134.271989863 
 01/01  22:00:00,-5.0,,-5.000005444813285,0.057796113150458996,65.45693635827512,12.428987965508703,27.77865920518289,12.096005767447526,28.39420678527636,13.41374232415254,26.10823729871239,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1186.0184845760896,1499.6373645037506,1861.9102397492563,328.42454548948047,131.31900413487284,0.0,0.0,7200547.867444985 
 01/01  23:00:00,-5.0,,-5.000005444813285,0.03933430141448861,65.5447464769623,12.244795549263525,28.117867462450835,11.852719408604063,28.854118511980737,13.409340015191397,26.11573337490651,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1134.9837470671819,1539.0564437704068,1861.9102397492563,333.79314181416004,134.15076310255307,0.0,0.0,7211279.629681534 
